2017-03-01 17:12:33 INFO  AndroidUtil:56 - Pasrsing process -- ZY223D7XPB             device usb:336592896X product:athene_f model:Moto_G__4_ device:athene_f
2017-03-01 17:12:33 INFO  AndroidUtil:87 - Adding the following android device to device matrix --ZY223D7XPB
2017-03-01 17:15:18 INFO  AndroidUtil:116 - Adding the following iOS simulator to device matrix --7B906BD5-6331-48ED-B593-5D27F46FCF90
2017-03-01 17:15:18 INFO  AndroidUtil:116 - Adding the following iOS simulator to device matrix --1BBD1612-8E25-4BC8-9A9F-DD711417FEA6
2017-03-01 17:15:18 INFO  AndroidUtil:116 - Adding the following iOS simulator to device matrix --1C66C35B-021D-480C-8810-9D584DAB043C
2017-03-01 17:15:18 INFO  DeviceMatrix:35 - [DeviceDetails{deviceName='Moto G (4)', udid='ZY223D7XPB', status='null', platform=ANDROID, platformVersion='7.0', runsOn=DEVICE}, DeviceDetails{deviceName='iPhone 5', udid='682DCDE8-E994-4098-98C5-A411A3D20ECA', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}, DeviceDetails{deviceName='iPhone 5s', udid='7B906BD5-6331-48ED-B593-5D27F46FCF90', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}, DeviceDetails{deviceName='iPhone 6', udid='1BBD1612-8E25-4BC8-9A9F-DD711417FEA6', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}, DeviceDetails{deviceName='iPhone 6s', udid='1C66C35B-021D-480C-8810-9D584DAB043C', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}]
2017-03-01 17:15:24 INFO  OptimusController:114 - Starting Scenario -- clearTripDetailsOnHomepage1
2017-03-01 17:16:18 INFO  AndroidUtil:56 - Pasrsing process -- ZY223D7XPB             device usb:336592896X product:athene_f model:Moto_G__4_ device:athene_f
2017-03-01 17:16:18 INFO  AndroidUtil:87 - Adding the following android device to device matrix --ZY223D7XPB
2017-03-01 17:16:21 INFO  AndroidUtil:116 - Adding the following iOS simulator to device matrix --682DCDE8-E994-4098-98C5-A411A3D20ECA
2017-03-01 17:16:21 INFO  AndroidUtil:116 - Adding the following iOS simulator to device matrix --7B906BD5-6331-48ED-B593-5D27F46FCF90
2017-03-01 17:16:21 INFO  AndroidUtil:116 - Adding the following iOS simulator to device matrix --1BBD1612-8E25-4BC8-9A9F-DD711417FEA6
2017-03-01 17:16:21 INFO  AndroidUtil:116 - Adding the following iOS simulator to device matrix --1C66C35B-021D-480C-8810-9D584DAB043C
2017-03-01 17:16:21 INFO  DeviceMatrix:35 - [DeviceDetails{deviceName='Moto G (4)', udid='ZY223D7XPB', status='null', platform=ANDROID, platformVersion='7.0', runsOn=DEVICE}, DeviceDetails{deviceName='iPhone 5', udid='682DCDE8-E994-4098-98C5-A411A3D20ECA', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}, DeviceDetails{deviceName='iPhone 5s', udid='7B906BD5-6331-48ED-B593-5D27F46FCF90', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}, DeviceDetails{deviceName='iPhone 6', udid='1BBD1612-8E25-4BC8-9A9F-DD711417FEA6', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}, DeviceDetails{deviceName='iPhone 6s', udid='1C66C35B-021D-480C-8810-9D584DAB043C', status='null', platform=IOS, platformVersion='9.3', runsOn=SIMULATOR}]
2017-03-01 17:16:26 INFO  OptimusController:114 - Starting Scenario -- clearTripDetailsOnHomepage1
2017-03-01 17:17:12 INFO  OptimusController:133 - clearTripDetailsOnHomepage1--driver instance created for ZY223D7XPB
2017-03-01 17:17:12 INFO  OptimusController:150 - clearTripDetailsOnHomepage1---BOT registered successfully for -- ZY223D7XPB
2017-03-01 17:19:44 INFO  OptimusController:101 - clearTripDetailsOnHomepage1---The following BOT de-registered successfully -- ZY223D7XPB
